id,source_website,source_label,source_url,geo_validation,author,review_date,rating,sentiment,review_text,tier1,tier2,tier3
rvw-000001,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/manheim-fredericksburg-167784557350491#review-1,birdeye_us_profile,chris_ Ward,2026-03-27,,positive,Smooth delivery experience upon arrival the young lady who works out front was very sweet and quickly pointed me in the right direction on the vehicle. I will be taking 10 out of 10 if possible.,"Vehicle Pickup, Delivery and Scheduling",Scheduled Pickup Status,Schedule/ Reschedule Pickup
rvw-000002,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/manheim-fredericksburg-167784557350491#review-2,birdeye_us_profile,Brian Perez,2026-03-27,,positive,"Nikki Ward was exceptional. She helped me getting my vehicle registered in a timely manner and kept me informed with everything. I'm going to keep sending my vehicles for Manheim Fredericksburg, they are very professional.",Customer Service & Communication,Case Resolution Quality,Issue Resolved
rvw-000003,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/manheim-fredericksburg-167784557350491?page=2#review-1,birdeye_us_profile,chris_ Ward,2026-03-27,,positive,Smooth delivery experience upon arrival the young lady who works out front was very sweet and quickly pointed me in the right direction on the vehicle. I will be taking 10 out of 10 if possible.,"Vehicle Pickup, Delivery and Scheduling",Scheduled Pickup Status,Schedule/ Reschedule Pickup
rvw-000004,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/manheim-fredericksburg-167784557350491?page=2#review-2,birdeye_us_profile,Brian Perez,2026-03-27,,positive,"Nikki Ward was exceptional. She helped me getting my vehicle registered in a timely manner and kept me informed with everything. I'm going to keep sending my vehicles for Manheim Fredericksburg, they are very professional.",Customer Service & Communication,Case Resolution Quality,Issue Resolved
rvw-000005,bbb.org,BBB Complaints,https://www.bbb.org/us/ga/atlanta/profile/auctioneer/manheim-auctions-0443-6001743/complaints#0443_6001743_24681952,bbb_us_business,BBB complainant,2026-03-25,1,negative,"Product Issues. I bought 2024 REMOVED from manheim, the car has multiple unannounced issues, which were confirmed by inspector, I ask for $1500 credit for it. but the arbitrator simply ignore the issues, refuse my credit request and closed the deal as buyer bought.","Lot Condition, Listing Status and related",Third-Party Inspection Authorization & Scheduling,Previewing/ Inspecting Vehicles
rvw-000006,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/manheim-dallas-fort-worth-166658799426873#review-3,birdeye_us_profile,Sam Clone,2026-03-20,,negative,"The worst people Work here I have been buying cars from Auction in the last 20 years never experienced that bad of a customer service from security in my life, Will never buy from here again and never come here. I recommend the one in Dallas way better.",Customer Service & Communication,Agent Professionalism & Responsiveness,Rude/Unhelpful Support
rvw-000007,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/manheim-dallas-fort-worth-166658799426873?page=2#review-3,birdeye_us_profile,Sam Clone,2026-03-20,,negative,"The worst people Work here I have been buying cars from Auction in the last 20 years never experienced that bad of a customer service from security in my life, Will never buy from here again and never come here. I recommend the one in Dallas way better.",Customer Service & Communication,Agent Professionalism & Responsiveness,Rude/Unhelpful Support
rvw-000008,bbb.org,BBB Complaints,https://www.bbb.org/us/ga/atlanta/profile/auctioneer/manheim-auctions-0443-6001743/complaints#0443_6001743_24664622,bbb_us_business,BBB complainant,2026-03-20,1,negative,"Service or Repair Issues. Hello, My name is REMOVED . I purchased a vehicle from Manheim Kenly on 3/11/26. The vehicle was paid in full according to Manheim rules a gate pass is supposed to be ready for me within 2 hours of a vehicle being fully paid for. Since i have never had an issue before i thought nothing of it and had a busy day and sent my driver there to pick the vehicle up. Upon driver arriving at location at about 6pm that day gate pass was not available. I called customer care and they told me the vehicle was not at the location. So the next day I called that location and the REMOVED there explained that the vehicle was still not there. So I filed a claim. in which they called me on that Friday and denied my claim and told me the vehicle was there and I should have no issues with getting it. So now its Saturday still no gate pass. Now Monday is here and I got to the location close to me and asked them for a gate pass and they told me the same thing, that the vehicle is not there. At this time I am very disappointed and have no confidence in the vehicle bring there. Now I finally got a call from the manager REMOVED and she disregarded everything I talked to her about and said the gate pass is available and it's all fixed. Come get your vehicle. I am telling her that if this was the other way around Manheim would have charged countless fees and properly blocked me for something like this. I would like someone from higher up to call me and resolve this matter. I have already had issues with there deal shield not holding there end of what its supposed to do and I lost almost $1000 on that deal. But when I am in the wrong or drop the ball there is always a charge or a excuse to why I have to pay and it cant side.",Customer Service & Communication,Agent Professionalism & Responsiveness,Rude/Unhelpful Support
rvw-000009,apps.apple.com,"Apple App Store (6744660081, us)",https://itunes.apple.com/us/review?id=6744660081&type=Purple%20Software&reviewId=13866344691,apple_us_store,tswazir,2026-03-19,1,negative,Auth issue. I have to sign in this app every single time i open this app. Like even bank apps doesnt do that. So annoying. You guys need to pay your devs to fix this auth issue and not making me sign in over and over,Account / Access / Login,Password Reset & Login Troubleshooting,App Login Troubleshooting
rvw-000010,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/manheim-indianapolis-167758900611879#review-3,birdeye_us_profile,Linda Linda,2026-03-18,,positive,"If you want to remove negative reviews from your Google Business, contact me via my profile; my contact details are listed there. After work you can pay..",Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
